IM,NM,DR,RG,CM,TL,AT,Horario
1072,SALCOBRAND,cristobal colon 4317,13,308,+560222067609,1,"{'semana': 'Lunes - Sábado: 08:30 a 22:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 22:00 hrs.<br>', 'turno': ''}"
1536,SALCOBRAND,av. camilo henriquez  4583,13,327,+560226376100,1,"{'semana': 'Lunes - Viernes: 08:00 a 23:00 hrs.<br>Sábado: 09:00 a 23:00 hrs.<br>Domingo: 09:00 a 22:00 hrs.<br>Festivos: 09:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 08:00 a 23:00 hrs.<br>', 'turno': ''}"
4162,SALCOBRAND,colon 787,13,333,,1,"{'semana': 'Lunes - Sábado: 08:30 a 20:30 hrs.<br>Domingo: 10:00 a 20:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 20:30 hrs.<br>', 'turno': ''}"
4680,SALCOBRAND HUANHUALI,"huanhuali 991, la serena",4,30,+5602224223300,1,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5599,SALCOBRAND LOCAL 620,"av. angamos n°02170, local 103",2,12,,1,"{'semana': 'Lunes - Domingo: 09:00 a 22:00 hrs.<br>Festivos: 09:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
5275,SALCOBRAND MALL VIVO COQUIMBO,"baquedano 86, coquimbo",4,31,,1,"{'semana': 'Lunes - Domingo: 10:00 a 21:00 hrs.<br>Festivos: 10:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 21:00 hrs.<br>', 'turno': ''}"
9335,SALCOBRAND S.A.,local 4044,5,53,,0,"{'semana': 'Lunes - Viernes: 08:30 a 21:00 hrs.<br>Sábado - Domingo: 10:00 a 20:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
6406,SALEM,"avenida isidoro dubournais nº830, local 21-a ",5,74,,0,"{'semana': 'Lunes - Sábado: 11:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 11:00 a 19:00 hrs.<br>', 'turno': ''}"
4186,SALESIANOS,av. presidente salvador allende 1724,13,315,,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
851,SALUD,general korner   824,13,299,+560225587425,0,"{'semana': 'Lunes - Viernes: 09:00 a 12:00 y 15:00 a 20:00 hrs.<br>Sábado: 09:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 12:00 y 15:00 a 20:00 hrs.<br>', 'turno': ''}"
7523,SALUD EN TU BARRIO,ingeniero budge n° 705,13,324,,0,"{'semana': 'Lunes - Viernes: 09:00 a 14:00 y 16:00 a 20:00 hrs.<br>Sábado: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
6500,SALUD ETERNA,la campana n° 2978,13,327,,0,"{'semana': 'Lunes - Viernes: 10:00 a 18:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 18:00 hrs.<br>', 'turno': ''}"
7434,SALUD FARMA,central 60,13,333,,0,"{'semana': 'Lunes - Viernes: 09:30 a 18:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>Festivos: 10:00 a 14:00 hrs.<br>', 'dia': 'Viernes: 09:30 a 18:00 hrs.<br>', 'turno': ''}"
1589,SALUD FARMA,av. concha y toro 3175,13,327,+560222952144,0,"{'semana': 'Lunes - Domingo: 11:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 11:00 a 21:00 hrs.<br>', 'turno': ''}"
9006,SALUD Y MAX,san francisco 1198,13,295,+5656991488007,0,"{'semana': 'Lunes - Viernes: 10:00 a 19:00 hrs.<br>Sábado: 10:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 19:00 hrs.<br>', 'turno': ''}"
837,SALUD/CANAIMA,julio covarrubias 10004,13,299,+560225489899,0,"{'semana': 'Lunes - Domingo: 08:30 a 21:30 hrs.<br>Festivos: 08:30 a 21:30 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:30 hrs.<br>', 'turno': ''}"
6878,SALUDFARMA,"miguel ángel 1310, puente alto",13,327,,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 15:00 a 20:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 15:00 a 20:00 hrs.<br>', 'turno': ''}"
1774,Saludfarma,avenida santa rosa 8097 - a,13,325,,0,"{'semana': 'Lunes - Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>Sábado: 11:00 a 16:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 16:00 a 20:00 hrs.<br>', 'turno': ''}"
7194,SALUDFONTOVA,avenida pedro fontova n° 4965,13,298,,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 16:00 a 21:00 hrs.<br>Domingo: 10:00 a 14:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 14:00 y 16:00 a 21:00 hrs.<br>', 'turno': ''}"
6603,SALVADOR,"avenida providencia 727, local 711",13,317,,1,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado y Domingo: Cerrado<br>Festivos: 09:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
3631,SAN ALFONSO,andres bello 339,4,42,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
3621,SAN ALFONSO,jose miguel carrera 136,4,42,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
823,SAN ANDRES,manizales 1898,13,298,+560227286083,0,"{'semana': 'Lunes - Sábado: 10:00 a 19:00 hrs.<br>Domingo: Cerrado<br>Festivos: 10:00 a 19:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 19:00 hrs.<br>', 'turno': ''}"
1739,SAN ANDRES,comercio 19672,13,329,+560228611407,0,"{'semana': 'Lunes - Domingo: 09:30 a 14:00 y 17:00 a 21:30 hrs.<br>Festivos: 09:30 a 14:00 y 17:00 a 21:30 hrs.<br>', 'dia': 'Viernes: 09:30 a 14:00 y 17:00 a 21:30 hrs.<br>', 'turno': ''}"
1900,SAN ANTONIO,san antonio 575,13,295,+560226640094,0,"{'semana': 'Lunes - Jueves: 09:30 a 21:00 hrs.<br>Viernes: 09:30 a 20:30 hrs.<br>Sábado: 09:30 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:30 a 20:30 hrs.<br>', 'turno': ''}"
7003,SAN BENITO DE PALERMO,rafael sotomayor 1524,15,1,,0,"{'semana': 'Lunes - Sábado: 09:00 a 14:00 y 15:00 a 21:00 hrs.<br>Domingo: 11:00 a 14:00 y 15:00 a 19:00 hrs.<br>Festivos: 11:00 a 14:00 y 15:00 a 19:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 14:00 y 15:00 a 21:00 hrs.<br>', 'turno': ''}"
4181,SAN BENJAMÍN,avda. san rafael n° 353 local b,7,125,,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
4196,SAN BERNARDO,victoria 416,13,333,+5627199094,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 19:00 hrs.<br>', 'turno': ''}"
5471,SAN CARLOS,avenida gabriela 03950,13,327,,0,"{'semana': 'Lunes - Viernes: 10:00 a 20:00 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
4120,SAN CARLOS,av. san carlos 0581,13,327,,0,"{'semana': 'Lunes - Viernes: 09:00 a 16:30 y 17:00 a 21:00 hrs.<br>Sábado: 10:00 a 16:30 y 17:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 16:30 y 17:00 a 21:00 hrs.<br>', 'turno': ''}"
7263,SAN CARLOS,"manuel rodríguez 53, local 5",13,327,,0,"{'semana': 'Lunes - Viernes: 09:00 a 20:00 hrs.<br>Sábado: 10:00 a 15:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 20:00 hrs.<br>', 'turno': ''}"
5098,SAN DIEGO,san diego 1566,13,295,,0,"{'semana': 'Lunes - Viernes: 10:30 a 13:00 y 14:00 a 19:30 hrs.<br>Sábado: 10:30 a 15:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:30 a 13:00 y 14:00 a 19:30 hrs.<br>', 'turno': ''}"
