IM,NM,DR,RG,CM,TL,AT,Horario
5674,CRUZ VERDE,av. grecia n°1120,2,16,+560226944000,0,"{'semana': 'Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: Cerrado', 'turno': ''}"
6935,CRUZ VERDE,pedro aguirre cerda 1010 local 3 - 4 ,15,1,,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5479,CRUZ VERDE,"avenida diego portales 640, locales b 1065/1068/1073",15,1,+56232787305,0,"{'semana': 'Lunes - Viernes: 08:30 a 21:00 hrs.<br>Sábado - Domingo: 09:00 a 21:00 hrs.<br>Festivos: 09:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
3486,CRUZ VERDE,av. grecia nº 430,2,12,+56552488620,0,"{'semana': 'Lunes - Domingo: 11:00 a 21:00 hrs.<br>Festivos: 11:00 a 21:00 hrs.<br>', 'dia': 'Viernes: 11:00 a 21:00 hrs.<br>', 'turno': ''}"
6068,CRUZ VERDE L-9030,huaytiquina n°1425-b,2,16,+5655552832613,0,"{'semana': 'Lunes - Sábado: 09:00 a 22:00 hrs.<br>Domingo: 10:00 a 22:00 hrs.<br>Festivos: 10:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
7413,CRUZ VERDE LOCAL 9073,"zenteno 21, local 1016",2,12,+56552551580,0,"{'semana': 'Lunes - Sábado: 09:00 a 17:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 17:00 hrs.<br>', 'turno': ''}"
9386,DEL DESIERTO LOCAL 2,avenida arturo prat 711,2,15,+56946290519,0,"{'semana': 'Lunes - Viernes: 09:00 a 17:30 hrs.<br>Sábado y Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 17:30 hrs.<br>', 'turno': ''}"
3497,DEL NORTE,av. pedro aguirre cerda nº 5750,2,12,+56552476902,0,"{'semana': 'Lunes - Viernes: 09:00 a 22:00 hrs.<br>Sábado - Domingo: 11:00 a 22:00 hrs.<br>Festivos: 11:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 09:00 a 22:00 hrs.<br>', 'turno': ''}"
4609,DR SIMI,"pantaleon cortés n°852, local 3",2,12,,0,"{'semana': 'Lunes - Sábado: 10:00 a 18:00 hrs.<br>Domingo: 10:00 a 16:00 hrs.<br>Festivos: 10:00 a 16:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 18:00 hrs.<br>', 'turno': ''}"
7647,DR SIMI,av. balmaceda n° 3242 local a-112,2,16,+569931806543,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3482,DR SIMI,maipu nº 745,2,12,+56552265182,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
6108,DR. SIMI,21 de mayo 596,15,1,+562310874,0,"{'semana': 'Lunes - Viernes: 08:30 a 19:00 hrs.<br>Sábado: 10:00 a 14:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 08:30 a 19:00 hrs.<br>', 'turno': ''}"
4015,DR. SIMI,avda. las americas nº 4225,1,11,+560224590090,0,"{'semana': 'Lunes - Domingo: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
3398,DR. SIMI,21 de mayo 383,15,1,+562321893,0,"{'semana': 'Lunes - Viernes: 09:00 a 19:30 hrs.<br>Sábado: 10:30 a 14:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 19:30 hrs.<br>', 'turno': ''}"
3400,DR. SIMI,general manuel baquedano 561,15,1,+562310874,0,"{'semana': 'Lunes - Viernes: 10:00 a 22:00 hrs.<br>Sábado: 10:00 a 14:00 y 17:00 a 22:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 22:00 hrs.<br>', 'turno': ''}"
3798,DR. SIMI,baquedano nº 730,2,12,+56552490878,0,"{'semana': 'Lunes - Viernes: 09:30 a 21:30 hrs.<br>Sábado: 11:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:30 a 21:30 hrs.<br>', 'turno': ''}"
5290,DR. SIMI CL 0179,21 de mayo nº 1512,2,19,+56977983308,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
3787,EKONOFARMA,josé santos ossa nº2250,2,12,,0,"{'semana': 'Lunes - Viernes: 09:30 a 22:00 hrs.<br>Sábado: 11:00 a 22:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:30 a 22:00 hrs.<br>', 'turno': ''}"
3498,EKONOFARMA,huamachuco nº8481-a,2,12,+56552844288,0,"{'semana': 'Lunes - Sábado: 10:00 a 14:00 y 18:00 a 21:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 14:00 y 18:00 a 21:30 hrs.<br>', 'turno': ''}"
9060,EMERSON,tambo quemado 3711,15,1,,0,"{'semana': 'Lunes - Viernes: 08:00 a 13:00 hrs.<br>Domingo: 08:00 a 13:00 hrs.<br>Sábado: Cerrado<br>Festivos: 08:00 a 13:00 hrs.<br>', 'dia': 'Viernes: 08:00 a 13:00 hrs.<br>', 'turno': ''}"
7471,FARMA IN,tucapel 2334,15,1,,0,"{'semana': 'Lunes - Viernes: 10:00 a 15:00 y 15:30 a 18:30 hrs.<br>Sábado: 11:00 a 14:00 y 14:30 a 16:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 15:00 y 15:30 a 18:30 hrs.<br>', 'turno': ''}"
4489,FARMAC IA TRI-O FARMA,"arturo fernandez 1371 (acceso por ernesto riquelme) , iquique",1,5,+56572715482,0,"{'semana': 'Lunes - Sábado: 10:00 a 20:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:00 a 20:00 hrs.<br>', 'turno': ''}"
4382,FARMACIA  SALCOBRAND,"maipu n° 110, mall plaza copiapo",3,21,,1,"{'semana': 'Lunes - Domingo: 11:00 a 20:00 hrs.<br>Festivos: 11:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 11:00 a 20:00 hrs.<br>', 'turno': ''}"
3133,FARMACIA  SALCOBRAND,chacabuco  n° 393,3,21,+56522238916,1,"{'semana': 'Lunes - Sábado: 08:30 a 21:00 hrs.<br>Domingo: 10:00 a 20:00 hrs.<br>Festivos: 10:00 a 20:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
3134,FARMACIA  SALCOBRAND,"colipi  n° 484, mall plaza real",3,21,"+560224223300, anexo 5333",1,"{'semana': 'Lunes - Sábado: 08:30 a 21:00 hrs.<br>Domingo: 10:00 a 19:00 hrs.<br>Festivos: 10:00 a 19:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
3135,FARMACIA  SALCOBRAND,maipu n° 355,3,21,+562219975,1,"{'semana': 'Lunes - Sábado: 08:30 a 21:00 hrs.<br>Domingo: 10:00 a 19:00 hrs.<br>Festivos: 10:00 a 19:00 hrs.<br>', 'dia': 'Viernes: 08:30 a 21:00 hrs.<br>', 'turno': ''}"
6193,FARMACIA 18,18 de septiembre 1394,15,1,+56232678439,0,"{'semana': 'Lunes - Sábado: 09:00 a 21:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
7144,FARMACIA ACEVEDO,14 de febrero n°2001,2,12,+56992089343,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 10:00 a 19:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
4472,FARMACIA ACEVEDO,"av. pedro aguirre cerda nº 8251, local 24",2,12,,0,"{'semana': 'Lunes - Viernes: 09:00 a 21:00 hrs.<br>Sábado: 09:00 a 18:00 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 09:00 a 21:00 hrs.<br>', 'turno': ''}"
5739,FARMACIA ADONAY,manuel castro ramos n°2495,1,5,+56572570930,0,"{'semana': 'Lunes - Sábado: 10:30 a 18:30 hrs.<br>Domingo: Cerrado<br>', 'dia': 'Viernes: 10:30 a 18:30 hrs.<br>', 'turno': ''}"
3785,FARMACIA AHUMADA,av. balmaceda nº 2408,2,12,+560226313378,1,"{'semana': 'Lunes - Viernes: 10:00 a 22:00 hrs.<br>Sábado: 11:00 a 22:00 hrs.<br>Domingo: 12:00 a 22:00 hrs.<br>Festivos: 12:00 a 22:00 hrs.<br>', 'dia': 'Viernes: 10:00 a 22:00 hrs.<br>', 'turno': ''}"
